SSDSE-B-2023,Code,Prefecture,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A4101,A410101,A410102,A4103,A4200,A420001,A420002,A5101,A510101,A510102,A5102,A510201,A510202,A9101,A9201,B4101,B4102,B4103,B4106,B4109,C3301,C3302,C3801,C3802,C5401,C5403,E1101,E1301,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3701,E3702,E4101,E4401,E4501,E4601,E4602,E6101,E6102,E6201,E6202,E6301,E6302,E6501,E650110,E6502,E650210,E7101,E7102,E7201,E7202,F3101,F3102,F3103,F3104,F3105,G5105,G7101,G7102,H1800,H1801,H1802,H1803,H2600,H2601,H2602,H2603,H5609,H5610,H5614,I510120,I5102,I5103,J2503,J2505,J250502,J2506,J2526,L3221,L322101,L322102,L322103,L322104,L322105,L322106,L322107,L322108,L322109,L322110
îNìx,ínàÊÉRÅ[Éh,ìsìπï{åß,ëçêlå˚,ëçêlå˚ÅiíjÅj,ëçêlå˚ÅièóÅj,ì˙ñ{êlêlå˚,ì˙ñ{êlêlå˚ÅiíjÅj,ì˙ñ{êlêlå˚ÅièóÅj,15çŒñ¢ñûêlå˚,15çŒñ¢ñûêlå˚ÅiíjÅj,15çŒñ¢ñûêlå˚ÅièóÅj,15Å`64çŒêlå˚,15Å`64çŒêlå˚ÅiíjÅj,15Å`64çŒêlå˚ÅièóÅj,65çŒà»è„êlå˚,65çŒà»è„êlå˚ÅiíjÅj,65çŒà»è„êlå˚ÅièóÅj,èoê∂êî,èoê∂êîÅiíjÅj,èoê∂êîÅièóÅj,çáåvì¡éÍèoê∂ó¶,éÄñSêî,éÄñSêîÅiíjÅj,éÄñSêîÅièóÅj,ì]ì¸é“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ì]ì¸é“êîÅiì˙ñ{êlà⁄ìÆé“ÅjÅiíjÅj,ì]ì¸é“êîÅiì˙ñ{êlà⁄ìÆé“ÅjÅièóÅj,ì]èoé“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ì]èoé“êîÅiì˙ñ{êlà⁄ìÆé“ÅjÅiíjÅj,ì]èoé“êîÅiì˙ñ{êlà⁄ìÆé“ÅjÅièóÅj,ç•à˜åèêî,ó£ç•åèêî,îNïΩãœãCâ∑,ç≈çÇãCâ∑Åiì˙ç≈çÇãCâ∑ÇÃåéïΩãœÇÃç≈çÇílÅj,ç≈í·ãCâ∑Åiì˙ç≈í·ãCâ∑ÇÃåéïΩãœÇÃç≈í·ílÅj,ç~êÖì˙êîÅiîNä‘Åj,ç~êÖó ÅiîNä‘Åj,íÖçHåöízï®êî,íÖçHåöízï®è∞ñ êœ,ó∑äŸâcã∆é{ê›êîÅiÉzÉeÉãÇä‹ÇﬁÅj,ó∑äŸâcã∆é{ê›ãqé∫êîÅiÉzÉeÉãÇä‹ÇﬁÅj,ïWèÄâøäiÅiïΩãœâøäiÅjÅièZëÓínÅj,ïWèÄâøäiÅiïΩãœâøäiÅjÅiè§ã∆ínÅj,ócítâÄêî,ócítâÄã≥àıêî,ócítâÄç›âÄé“êî,è¨äwçZêî,è¨äwçZã≥àıêî,è¨äwçZéôì∂êî,íÜäwçZêî,íÜäwçZã≥àıêî,íÜäwçZê∂ìkêî,íÜäwçZë≤ã∆é“êî,íÜäwçZë≤ã∆é“ÇÃÇ§Çøêiäwé“êî,çÇìôäwçZêî,çÇìôäwçZã≥àıêî,çÇìôäwçZê∂ìkêî,çÇìôäwçZë≤ã∆é“êî,çÇìôäwçZë≤ã∆é“ÇÃÇ§Çøêiäwé“êî,íZä˙ëÂäwêî,ëÂäwêî,íZä˙ëÂäwã≥àıêî,ëÂäwã≥àıêî,íZä˙ëÂäwäwê∂êî,ëÂäwäwê∂êî,íZä˙ëÂäwë≤ã∆é“êî,íZä˙ëÂäwë≤ã∆é“ÇÃÇ§Çøêiäwé“êî,ëÂäwë≤ã∆é“êî,ëÂäwë≤ã∆é“ÇÃÇ§Çøêiäwé“êî,êÍèCäwçZêî,äeéÌäwçZêî,êÍèCäwçZê∂ìkêî,äeéÌäwçZê∂ìkêî,êVãKãÅêEê\çûåèêîÅiàÍî Åj,åéä‘óLå¯ãÅêEé“êîÅiàÍî Åj,åéä‘óLå¯ãÅêlêîÅiàÍî Åj,è[ë´êîÅiàÍî Åj,èAêEåèêîÅiàÍî Åj,àÍî ó∑åîî≠çsåèêî,âÑÇ◊èhîëé“êî,äOçëêlâÑÇ◊èhîëé“êî,íÖçHêVê›èZëÓåÀêî,íÖçHêVê›éùâ∆êî,íÖçHêVê›ë›â∆êî,íÖçHêVê›ï™è˜èZëÓêî,íÖçHêVê›èZëÓè∞ñ êœ,íÖçHêVê›éùâ∆è∞ñ êœ,íÖçHêVê›ï™è˜èZëÓè∞ñ êœ,íÖçHêVê›ë›â∆è∞ñ êœ,Ç≤Ç›ëçîrèoó Åiëçó Åj,1êl1ì˙ìñÇΩÇËÇÃîrèoó ,Ç≤Ç›ÇÃÉäÉTÉCÉNÉãó¶,àÍî ïaâ@êî,àÍî êfó√èäêî,éïâ»êfó√èäêî,ï€àÁèäìôêî,ï€àÁèäìôíËàıêî,ï€àÁèäìôóòópë“ã@éôì∂êî,ï€àÁèäìôç›èäéôêî,ï€àÁèäìôï€àÁémêî,è¡îÔéxèoÅiìÒêlà»è„ÇÃê¢ë—Åj,êHóøîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,èZãèîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,åıîMÅEêÖìπîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,â∆ãÔÅEâ∆éñópïiîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,îÌïûãyÇ—óöï®îÔÅiìÒêlà»è„ÇÃê¢ë—Åj,ï€åíà„ó√îÔÅiìÒêlà»è„ÇÃê¢ë—Åj,åí ÅEí êMîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,ã≥àÁîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,ã≥ó{å‚äyîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,ÇªÇÃëºÇÃè¡îÔéxèoÅiìÒêlà»è„ÇÃê¢ë—Åj
2020,R01000,ñkäCìπ,5224614,2465088,2759526,5151366,2429697,2721669,555804,284510,271294,2945727,1451491,1494236,1664023,696197,967826,29523,15187,14336,1.21,65078,32794,32284,48494,29310,19184,50418,29029,21389,20904,9070,10.0,28.1,-5.3,151,905,19917,4907150,2877,117115,20000,88500,385,4896,41743,999,19071,236396,586,11576,123129,40691,38715,276,10158,119773,39200,18902,15,37,294,6636,4463,79409,2128,354,17011,2241,159,47,24798,3439,174997,727259,723736,32105,32099,30570,17555910,1798840,31772,11068,15262,5110,2677390,1344364,509203,802650,1810945.0,949,23.4,479,3351,2840,1045,84821,134,79404,9949,301683,77680,27305,27309,12255,9227,14251,41407,9394,26539,56316
2019,R01000,ñkäCìπ,5259000,2480000,2780000,5223000,2464000,2759000,565000,289000,276000,3012000,1484000,1528000,1673000,699000,973000,31020,15988,15032,1.24,65498,33134,32364,47737,28614,19123,55467,31526,23941,23417,9833,9.8,26.5,-5.9,131,814,21463,4943285,2863,115751,19200,83700,404,4914,45449,1027,19145,239792,595,11679,124575,42181,40456,277,10337,123112,39976,19067,15,37,296,6683,4705,78612,2294,330,16702,2128,164,49,24958,3564,185269,696218,851537,39557,40059,119613,32197700,7975750,32486,11821,15625,4707,2776067,1444004,465364,843404,1850519.0,960,23.2,484,3397,2884,1020,82008,152,76397,9837,294682,72912,20862,26332,9895,10466,16466,42277,8848,29335,57289
2018,R01000,ñkäCìπ,5293000,2495000,2798000,5262000,2482000,2780000,577000,295000,282000,3052000,1502000,1551000,1656000,692000,964000,32642,16681,15961,1.27,64187,32757,31430,47269,28263,19006,55222,31407,23815,22916,9971,9.5,25.7,-7.6,157,1282,21437,5192636,2868,111049,19000,78200,422,4995,48586,1045,19108,243511,597,11673,126986,43997,42428,280,10444,125164,40223,18569,16,38,293,6707,5013,78122,2415,344,16831,2112,168,49,25820,3780,200363,734530,870195,43961,44510,111793,30401200,7689550,35761,11740,19535,4067,2934844,1445452,415385,1041957,1875810.0,969,23.9,486,3392,2905,1003,80564,129,76931,10221,281054,69044,19089,27012,8845,11517,11437,39308,10825,26991,56984
2017,R01000,ñkäCìπ,5325000,2510000,2815000,5298000,2499000,2799000,588000,301000,288000,3099000,1523000,1576000,1632000,683000,950000,34040,17503,16537,1.29,62417,31995,30422,48561,29134,19427,55130,31448,23682,23960,10147,9.1,27.7,-7.0,146,1158,21430,5480381,2897,108959,18800,68800,438,4929,51182,1061,19078,245504,611,11907,131051,44746,43333,283,10484,126799,40859,18570,16,38,294,6745,5112,77841,2375,264,16707,2176,169,52,26928,4119,211045,772601,856866,47555,48178,107166,30867650,7265810,37062,11466,21052,4134,3014254,1417542,438020,1132127,1873027.0,961,24.3,493,3384,2934,979,77751,65,73231,10393,286698,69640,24217,25633,10550,11222,12242,39559,9837,26797,57003
2016,R01000,ñkäCìπ,5355000,2523000,2831000,5330000,2514000,2817000,600000,306000,294000,3150000,1545000,1605000,1602000,670000,932000,35125,17888,17237,1.29,61906,32072,29834,48544,29032,19512,55418,31974,23444,24636,10476,9.3,28.3,-5.9,152,1360,21294,5286695,2891,107973,18300,62800,459,4991,54361,1074,19066,248124,622,12159,134328,45568,44298,284,10598,129006,42484,18897,17,37,292,6726,5150,77556,2444,250,17198,2173,171,54,28512,4181,228449,827073,839594,51494,52194,98811,29125450,6165450,37515,11312,21810,4018,3080563,1421197,430776,1201056,1902079.0,970,24.3,493,3380,2968,908,73405,94,70119,10202,287325,69445,17071,24438,9533,11106,12431,43681,10751,29305,59564
2015,R01000,ñkäCìπ,5381733,2537089,2844644,5348768,2522980,2825788,608296,310387,297909,3190804,1561879,1628925,1558387,651286,907101,36695,18838,17857,1.31,60667,31391,29276,47584,28603,18981,56446,32734,23712,25465,11211,10.0,26.4,-4.6,144,1274.5,20268,5008776,2964,108364,18000,58900,490,5133,58100,1106,19258,252482,633,12283,135857,45414,44198,286,10691,131682,42836,18561,17,37,306,6715,5272,77760,2471,256,16946,2171,171,54,29996,4500,247779,893513,821367,55940,56428,85840,28415760,5413800,34329,10904,19539,3608,2864467,1372115,376182,1093954,1944416.0,984,24.3,497,3370,2983,927,74333,182,70802,10805,272124,65912,22201,26068,9253,11984,12381,35895,9302,26930,52197
2014,R01000,ñkäCìπ,5410000,2551000,2859000,5390000,2543000,2847000,621000,316000,304000,3261000,1595000,1666000,1519000,633000,885000,37058,19010,18048,1.27,60018,31333,28685,46554,27741,18813,55496,32085,23411,26018,11003,9.3,27.0,-7.4,144,1203.5,19936,5002609,3080,109365,18100,57700,542,5571,64743,1127,19335,256601,641,12318,137026,45886,44790,290,10909,134616,43567,18448,17,37,309,6681,5434,77917,2608,266,16925,2142,175,56,31388,5039,270617,958243,788728,59225,59954,88179,26526110,3705430,32225,10604,17809,3586,2762202,1347232,396378,998698,1963290.0,990,24.6,499,3377,2978,852,68980,473,68452,10681,285154,65450,22611,27824,9061,12007,11702,36067,9160,27168,64105
2013,R01000,ñkäCìπ,5438000,2565000,2873000,5419000,2558000,2861000,630000,321000,309000,3332000,1628000,1704000,1469000,612000,857000,38190,19558,18632,1.28,59432,30976,28456,47783,28308,19475,55937,32388,23549,26330,11285,9.2,27.1,-8.0,161,1347,22963,5690164,3163,111005,18100,57200,547,5511,65150,1154,19530,261370,652,12392,138959,47546,46413,292,11030,135859,43503,17923,17,36,328,6581,5400,78805,2456,328,17397,2113,179,56,32590,5038,290823,1048428,773704,65119,65291,94152,26225590,2821940,34967,13304,17502,3900,3186608,1731039,433195,1000642,2019207.0,1013,24,505,3396,3003,828,67730,532,66763,10468,279190,63975,26159,26210,9283,10375,11833,38039,8205,26697,58414
2012,R01000,ñkäCìπ,5465000,2580000,2886000,5446000,2572000,2874000,640000,326000,314000,3398000,1658000,1739000,1422000,592000,830000,38686,19750,18936,1.26,58066,30834,27232,49367,28896,20471,56112,32880,23232,26538,11593,9.3,27.2,-7.8,148,1279,21966,5347660,3246,112181,18400,58400,558,5418,65725,1176,19603,265023,662,12406,141516,47965,46865,297,11152,139147,45817,18265,18,35,348,6498,5622,79242,2786,395,17196,2150,180,57,32578,4822,312730,1168445,659257,66696,67022,112212,24499270,1848450,35523,12055,18901,4387,3155047,1574389,478137,1087221,2012577.0,1004,23.6,504,3386,3014,813,65412,1075,65350,10132,281574,63444,16668,26077,8369,11414,13248,40937,10137,29009,62271
