SSDSE-C-2023,2020-2022年,City,LA03,LB00,LB01,LB011001,LB012001,LB012002,LB013001,LB013002,LB013003,LB013004,LB013005,LB013006,LB013007,LB014001,LB014002,LB014003,LB02,LB021101,LB021102,LB021103,LB021104,LB021105,LB021106,LB021107,LB021108,LB021109,LB021110,LB021111,LB021112,LB021113,LB021114,LB021115,LB021116,LB021201,LB021202,LB021203,LB021204,LB021205,LB022001,LB022002,LB022003,LB022004,LB022006,LB023001,LB023002,LB023003,LB023004,LB024001,LB024002,LB024003,LB024004,LB024005,LB03,LB031001,LB031002,LB031003,LB031004,LB031005,LB032001,LB032002,LB032003,LB032004,LB04,LB041001,LB042001,LB042002,LB042003,LB042004,LB042005,LB043001,LB05,LB051101,LB051102,LB051103,LB051104,LB051105,LB051106,LB051107,LB051108,LB051201,LB051202,LB051203,LB051204,LB051205,LB051206,LB051207,LB051208,LB051209,LB051210,LB051301,LB051302,LB051303,LB051304,LB051305,LB051306,LB051307,LB051308,LB051309,LB051310,LB051311,LB052001,LB052002,LB052003,LB052004,LB052005,LB052006,LB053001,LB053002,LB053003,LB053004,LB054001,LB054002,LB054003,LB054004,LB054005,LB054006,LB054007,LB054008,LB06,LB061001,LB061002,LB061004,LB061005,LB061006,LB061007,LB061008,LB061009,LB061010,LB061011,LB061012,LB061013,LB061014,LB061015,LB062001,LB07,LB071001,LB071002,LB072001,LB072002,LB072003,LB072004,LB072005,LB072006,LB072007,LB072008,LB072009,LB072010,LB072011,LB072012,LB072013,LB072014,LB072015,LB072016,LB08,LB080001,LB080002,LB080003,LB080004,LB080005,LB080006,LB080007,LB080008,LB080009,LB080010,LB080011,LB080012,LB080013,LB080014,LB080015,LB080016,LB09,LB091001,LB091002,LB091003,LB091004,LB091005,LB092001,LB092002,LB092003,LB092004,LB092005,LB092006,LB092007,LB092008,LB092009,LB092010,LB092011,LB092012,LB10,LB101001,LB101002,LB101003,LB101004,LB102001,LB102002,LB102003,LB103001,LB103002,LB103003,LB103004,LB103005,LB103006,LB103007,LB11,LB110001,LB110002,LB110003,LB110004,LB110005,LB110006,LB110007,LB110008,LB12,LB121101,LB121102,LB121103,LB121104,LB121105,LB121106,LB121107,LB121108,LB121109,LB121110,LB121201,LB121202,LB122001
地域コード,都道府県,市,世帯人員,食料（合計）,01　穀類,米,食パン,他のパン,生うどん・そば,乾うどん・そば,パスタ,中華麺,カップ麺,即席麺,他の麺類,小麦粉,もち,他の穀類のその他,02　魚介類,まぐろ,あじ,いわし,かつお,かれい,さけ,さば,さんま,たい,ぶり,いか,たこ,えび,かに,他の鮮魚,さしみ盛合わせ,あさり,しじみ,かき（貝）,ほたて貝,他の貝,塩さけ,たらこ,しらす干し,干しあじ,他の塩干魚介,揚げかまぼこ,ちくわ,かまぼこ,他の魚肉練製品,かつお節・削り節,魚介の漬物,魚介のつくだ煮,魚介の缶詰,他の魚介加工品のその他,03　肉類,牛肉,豚肉,鶏肉,合いびき肉,他の生鮮肉,ハム,ソーセージ,ベーコン,他の加工肉,04　乳卵類,牛乳,粉ミルク,ヨーグルト,バター,チーズ,他の乳製品,卵,05　野菜・海藻,キャベツ,ほうれんそう,はくさい,ねぎ,レタス,ブロッコリー,もやし,他の葉茎菜,さつまいも,じゃがいも,さといも,だいこん,にんじん,ごぼう,たまねぎ,れんこん,たけのこ,他の根菜,さやまめ,かぼちゃ,きゅうり,なす,トマト,ピーマン,生しいたけ,しめじ,えのきたけ,他のきのこ,他の野菜のその他,豆類,干ししいたけ,干しのり,わかめ,こんぶ,他の乾物・海藻,豆腐,油揚げ・がんもどき,納豆,他の大豆製品,こんにゃく,梅干し,だいこん漬,はくさい漬,他の野菜の漬物,こんぶつくだ煮,他の野菜・海藻の佃煮,他の野菜・海藻加工品のその他,06　果物,りんご,みかん,オレンジ,他の柑きつ類,梨,ぶどう,柿,桃,すいか,メロン,いちご,バナナ,キウイフルーツ,他の果物,果物加工品,07　油脂・調味料,食用油,マーガリン,食塩,しょう油,みそ,砂糖,酢,ソース,ケチャップ,マヨネーズ・マヨネーズ風調味料,ドレッシング,ジャム,カレールウ,乾燥スープ,風味調味料,ふりかけ,つゆ・たれ,他の調味料,08　菓子類,ようかん,まんじゅう,他の和生菓子,カステラ,ケーキ,ゼリー,プリン,他の洋生菓子,せんべい,ビスケット,スナック菓子,キャンデー,チョコレート,チョコレート菓子,アイスクリーム・シャーベット,他の菓子,09　調理食品,弁当,すし（弁当）,おにぎり・その他,調理パン,他の主食的調理食品,うなぎのかば焼き,サラダ,コロッケ,カツレツ,天ぷら・フライ,しゅうまい,ぎょうざ,やきとり,ハンバーグ,冷凍調理食品,そうざい材料セット,他の調理食品のその他,10　飲料,緑茶,紅茶,他の茶葉,茶飲料,コーヒー,コーヒー飲料,ココア・ココア飲料,果実・野菜ジュース,炭酸飲料,乳酸菌飲料,乳飲料,ミネラルウォーター,スポーツドリンク,他の飲料のその他,11　酒類,清酒,焼酎,ビール,ウイスキー,ワイン,発泡酒・ビール風アルコール飲料,チューハイ・カクテル,他の酒,12　外食,日本そば・うどん,中華そば,他の麺類外食,すし（外食）,和食,中華食,洋食,焼肉,ハンバーガー,他の主食的外食,喫茶代,飲酒代,学校給食
R00000,全国,全国,2.93,965949,79597,21869,10293,21476,3609,2258,1378,4556,5402,2209,719,696,1753,3380,75171,5320,1017,408,1427,904,5114,869,464,1151,2919,1874,1274,3062,1645,6956,4413,617,321,819,1166,401,2163,2091,1602,606,6889,2245,1788,3119,1531,840,3086,903,2911,3259,97501,23080,32413,17189,3002,3126,4984,7747,2749,3210,48639,15285,687,13731,1334,6687,664,10250,108315,2890,2017,1248,3334,2522,2315,1002,6716,1181,2857,769,1642,2485,1001,3847,945,695,3467,1881,1567,3415,2126,8041,2302,2004,1796,1241,2510,4511,452,381,2995,1514,798,2845,5171,2922,4422,869,1722,1399,1062,577,5072,1161,390,2238,40424,4682,4283,602,2347,1738,3121,1045,1062,1373,991,3518,5292,2135,4594,3643,47100,4563,644,454,1821,2165,1123,828,788,680,1411,2269,1314,1385,3893,2595,1669,5423,14073,89367,677,863,8642,801,7511,2028,1722,9092,5783,4082,5456,2230,6708,2172,10369,21231,139178,16837,14611,4814,5901,16768,2709,5601,1965,2088,11968,1070,2081,2426,1559,9445,3362,35974,61096,3537,798,1628,7846,7236,4889,396,7326,7024,4590,2507,3885,1425,8009,45294,5539,6492,11430,2377,3766,9521,4860,1308,134268,5260,5891,1964,13397,19108,3953,9064,6135,5434,40377,6421,7757,9507
R01100,北海道,札幌市,2.79,940138,80069,27317,9192,18056,3218,2332,1290,4285,5817,1894,700,674,1885,3407,83434,5100,186,203,1046,1441,7877,790,758,615,1236,2054,1443,3374,2618,8560,3309,691,547,1063,2698,845,3049,2351,858,236,9301,1648,1441,3621,1074,602,4718,708,2680,4693,91587,13779,33060,17045,1753,5214,4530,8104,3256,4846,45001,12873,1148,11565,1743,8023,596,9054,108284,3031,2479,1515,3375,2388,2450,930,8961,1444,2703,344,1940,2431,1004,3962,657,819,3825,1487,1810,3292,2379,8263,2718,2095,1569,1053,2507,3414,411,511,2550,1216,659,2502,4716,2280,4456,731,1787,1669,874,330,5118,969,307,2353,43848,5713,5001,514,2466,758,2731,1575,944,1774,2812,3020,5608,2322,4938,3671,44227,4527,434,451,1657,1967,1000,984,702,659,1426,1733,1148,1459,3125,2390,1367,5585,13612,89616,697,577,9799,786,8055,1996,1471,10117,4747,3726,6276,2452,7678,2413,10497,18329,108617,11963,12306,4470,4848,12001,1930,4171,1174,1309,11226,861,1803,2718,1208,7288,1053,28287,59684,3139,867,1356,6998,8467,5188,360,7747,8295,3096,2293,2894,1387,7596,56472,5610,5996,15188,5273,5815,12376,4572,1643,129299,5159,6544,1421,17825,21595,3534,13480,6833,4132,22246,4770,9182,12578
R02201,青森県,青森市,2.86,917727,74692,20976,8441,17808,3548,2177,1229,5851,6924,2230,604,659,1329,2916,87151,4620,634,563,1294,1622,6347,659,702,623,1754,2976,1113,3034,1682,8591,2870,367,791,469,3593,726,3530,3280,950,469,10467,1595,1847,2965,1246,498,6386,565,3534,4787,89759,14945,32798,16168,1318,3491,4488,9066,3179,4306,42944,13751,1058,12730,1322,5731,477,7876,112569,3354,2430,1231,3214,2552,3002,1433,7606,949,2366,290,1746,2511,1196,4250,682,643,3760,2290,1398,3321,2764,8459,2180,2289,1688,1070,3144,2909,346,350,2485,1779,1252,2968,4833,2447,5624,865,2552,1780,1251,500,4854,1089,285,2581,38445,8938,3530,531,1918,739,2225,935,696,1200,1526,2757,5336,1846,3077,3192,44076,3977,712,458,1667,2098,972,971,810,633,1257,2061,1030,1495,3721,2010,1368,5750,13087,82689,554,357,8242,443,6755,2221,1579,8815,5622,3752,6322,1968,5296,2357,10144,18264,126280,15037,14852,3856,5505,14128,2048,5529,1702,2039,12792,779,1787,4152,1728,8316,1639,30391,67209,2028,465,1352,8634,7188,5794,445,10160,9225,5529,2800,2433,1744,9412,57769,6488,6934,14293,4016,3532,14301,6961,1244,94143,4525,9501,768,12142,13385,2345,5862,6283,4556,16475,3076,4739,10485
R03201,岩手県,盛岡市,3.06,943800,79493,22138,8585,20439,3360,2309,1358,6540,6642,1943,921,659,1461,3138,77147,5659,464,344,2267,1110,5557,542,708,500,1897,1894,1109,2249,1039,5821,4073,567,449,777,1891,507,4018,2430,1115,389,8994,1486,1809,3289,1082,661,4197,676,3187,4390,81637,11381,31485,14474,1332,3176,4973,8390,2957,3470,50802,16556,567,15712,1185,7155,705,8921,116270,3174,3092,1191,3007,2113,3071,1220,7938,1207,2280,750,1995,2558,1186,3854,652,543,3592,1849,1699,3511,2124,6893,2301,2015,1979,1256,3356,3656,474,374,3153,2502,1135,2969,6631,3122,6119,788,2151,1658,1427,555,5633,972,265,2276,44146,8516,4475,680,2974,1187,2905,981,765,1435,991,3607,5634,2456,4441,3099,49227,4380,603,506,1723,2828,961,924,634,655,1276,2098,1102,1413,5013,2706,1888,6248,14271,94418,920,653,8464,429,8137,3184,1832,8674,6811,4520,5184,1914,6623,2054,10883,24139,129640,15459,13546,4376,4811,15190,1902,4772,1571,2083,11919,806,1900,2978,1721,10550,3086,32970,62113,3528,577,1782,7650,7606,4609,386,8712,8856,3596,2455,2874,1684,7799,53329,7667,6225,13196,2857,4042,12390,5413,1537,105579,5381,7479,1445,11933,9918,2004,5168,5356,4310,31887,3661,6517,10519
R04100,宮城県,仙台市,2.96,970750,76748,19328,9344,21631,3202,1990,1395,5181,6472,1855,805,682,1550,3314,80756,6203,550,270,2350,988,5130,598,708,549,1888,1698,1340,2602,716,7269,4363,526,505,1358,1415,471,3038,1834,1483,404,7125,1676,1264,8170,1511,707,3862,705,3806,3674,86259,13993,32479,15406,1587,3688,4533,7610,2967,3996,50475,14886,503,15426,1322,7565,729,10044,119365,3010,2673,1317,3044,2348,2835,1149,8730,1230,2830,800,1844,2532,1145,3518,846,916,3604,2309,1914,3730,2218,7434,2392,1831,2071,1309,3779,5121,474,473,2794,2597,900,3107,5500,3192,5605,986,1882,1434,1150,717,6164,915,276,2718,44600,5466,4857,737,2988,2293,2727,1292,1279,1405,1142,3441,4911,2424,5791,3848,47043,4399,613,411,1670,2310,1002,843,719,682,1303,2151,1391,1393,4593,2452,1623,5311,14176,96002,687,668,10099,666,7817,2482,1648,10122,5915,4665,5263,2157,6976,2406,10227,24205,138113,17393,13332,5303,6255,16197,2743,6276,2217,2217,12058,1133,1861,2584,1879,8263,2319,36084,63374,4032,1239,1796,6887,8120,5077,387,7446,8319,4848,2106,3701,1522,7892,48323,8761,5065,10322,3825,4588,9604,4619,1538,119692,6394,9775,2610,12114,16270,2691,7772,5067,4995,30051,5410,6449,10094
R05201,秋田県,秋田市,2.73,930063,70765,19497,7874,16883,3532,4397,1167,5573,5395,1833,559,587,1215,2254,83200,4984,933,516,1424,2232,5868,776,781,872,2058,2273,925,3025,1275,8292,5620,448,697,497,1615,687,4314,3074,928,296,8185,1445,1475,2958,1229,645,4828,1556,2982,3488,84768,14839,33038,15362,1346,2879,4429,7204,2925,2745,44563,13326,342,13533,1072,6394,571,9326,120467,3347,3045,1226,3188,2405,2868,1170,9775,1206,2497,606,1738,2467,1239,3789,570,716,4004,3711,1754,3556,2732,8429,2267,2437,1704,1178,4200,3877,547,192,2387,1880,888,3306,5601,2387,5879,610,1794,1566,1504,300,5955,865,670,2435,47823,8359,4842,606,2697,2212,2936,1024,1137,1776,2193,3447,5494,2194,6016,2890,45297,4450,501,464,1809,2786,1170,893,610,587,1327,1782,1255,1371,3590,2331,1485,5868,13017,88991,574,824,8914,438,6445,2598,1689,9807,4625,2970,3895,1839,5670,1299,9329,28076,120485,14463,11697,4080,5395,12650,1815,4989,1472,1879,9415,817,1457,2463,1216,8308,3518,34852,55524,3417,664,1466,6288,7428,3644,289,8677,5964,4754,1601,2934,1388,7010,54525,9204,6162,13167,3132,4425,11713,5629,1093,113656,5713,8835,1851,15033,15693,2238,5277,7974,3634,25711,3415,6773,11509
R06201,山形県,山形市,3.17,994021,81774,25373,8182,17530,4549,3306,1338,5948,7015,2139,851,711,1882,2952,75220,5803,431,191,2335,804,4296,348,558,693,2020,2102,1416,2698,967,5248,3736,539,204,907,1336,409,4038,2899,1112,299,8307,1892,1754,3535,1740,703,3792,991,3490,3626,104651,27068,34242,16057,1637,4274,4579,8969,3568,4257,52188,16811,1035,15852,1178,6568,744,10001,116856,2686,2494,914,3245,2329,2574,1266,9383,1003,2290,1997,1561,2214,1266,3293,810,1452,3201,2216,1417,3716,2326,6331,1933,1849,1938,1487,4077,3296,523,265,2596,1877,1222,3515,5304,3245,6118,675,3311,1063,1127,776,6416,1823,335,2094,49520,5626,4543,840,2560,3564,3686,1018,1260,1528,939,3848,4958,1463,9893,3793,48937,4969,450,635,3047,2829,1174,805,755,624,1448,1988,1099,1544,3774,2196,1961,5889,13750,95511,682,742,11778,426,8137,2269,1953,9909,7489,4236,5933,2089,7278,2413,11222,18955,129314,14616,12612,4136,5348,13868,2091,5942,1840,2095,13727,873,1535,2800,1805,9889,4027,32107,62225,2908,669,1518,7727,7429,4107,353,7866,10083,4474,2130,2481,2077,8402,51167,6167,6305,11313,3616,4596,10749,6421,1999,126659,7305,13096,1891,16279,17852,4312,10557,7450,4809,18373,4636,7299,12801
R07201,福島県,福島市,2.98,982708,76382,22051,8745,18299,3303,2490,1339,4654,7013,2165,1012,652,1588,3071,76925,6507,472,374,3151,1013,4796,542,560,716,1930,1697,1087,2465,1166,4737,3727,679,321,676,1294,300,3663,2491,1856,410,7438,2217,1736,3763,1783,770,4149,1054,3526,3858,85656,13105,35895,13865,1107,2913,5447,7376,2995,2951,53034,15018,310,17005,997,6748,697,12258,119124,3440,2274,1304,2980,2122,2756,1157,8532,1049,2713,805,1956,2978,1168,3568,701,768,3701,2047,1722,4333,2495,7473,2129,2129,2326,1423,3371,3009,636,297,3179,2127,879,3012,5568,3040,6786,1104,1989,1551,1325,840,5696,1563,392,2709,49191,7072,4213,740,2436,2921,2675,790,7256,1010,551,3470,5162,2115,5542,3237,47512,4634,474,606,1689,2796,1110,1045,817,628,1523,2214,992,1423,4123,2485,1805,6017,13132,94925,1081,2041,10176,487,7302,2382,1961,8277,7205,4659,5774,2124,7027,2558,11632,20241,143147,18168,13185,5055,6110,16149,1992,7631,2380,2340,12942,909,1853,2643,2074,10494,7049,32172,68875,3499,783,1555,8867,7550,5166,390,8075,7722,6327,3218,5076,1985,8662,53056,8067,6234,13931,2946,3839,12068,4592,1378,114883,5123,8251,1994,14995,21128,2466,9411,4613,4531,19980,3772,5393,13226
R08201,茨城県,水戸市,2.74,902906,71011,19319,9375,17860,3626,2257,1397,4296,4848,1532,682,662,1956,3201,67538,5450,577,288,2628,799,5175,621,657,554,2039,1315,973,2059,697,4183,4844,374,915,611,1027,203,2622,2220,2162,577,6131,1579,1129,3049,1473,713,2927,1045,2976,2945,79669,14480,30336,14335,1707,1639,5278,6962,2506,2427,47845,13656,1211,14427,1350,7126,590,9485,103200,2486,1799,998,2899,2387,2442,798,5853,934,2262,537,1705,2346,815,3436,925,385,3514,1549,1716,3381,2002,7256,2191,1899,2068,1063,2524,3922,562,202,2945,1725,595,2650,5356,2759,6021,1127,1532,1421,970,476,5014,1080,479,2191,42808,5577,4818,600,2413,2230,3035,955,625,1613,3669,3781,4479,1986,3484,3543,43106,4579,532,429,1561,1983,1027,856,663,692,1409,2299,1287,1154,3691,2036,1550,4631,12724,92725,1213,1044,7864,808,7784,1957,1947,8829,7862,4598,5333,1984,6741,2141,10157,22464,136313,17824,13379,5551,7620,16536,2545,6792,1784,2174,11398,1090,1679,2763,1839,10510,2660,30169,63366,3956,941,1400,9418,6957,4847,377,6709,6846,5006,2335,5069,1504,8001,36174,5779,4517,9474,2953,3996,4954,3626,875,119150,6100,6660,2309,10789,19358,4197,12913,4713,5696,25843,5701,5964,8907
