SSDSE-F-2023,1991-2020îN,,,CN100,CN110,CN120,CN131,CN132,CN141,CN142,CN143,CN144,CN151,CN152,CN200,CN210,CN220,CN230,CN300,CN311,CN312,CN313,CN400,CN410,CN420,CN500,CN511,CN512,CN513,CN514,CN515,CN600,CN610,CN620,CN631,CN632,CN633,CN640,CN651,CN652,CN653,CN654,CN900,CN910,CN920
ínàÊÉRÅ[Éh,ìsìπï{åß,és,åéÅEîN,ïΩãœãCâ∑,ì˙ç≈çÇãCâ∑ÇÃïΩãœ,ì˙ç≈í·ãCâ∑ÇÃïΩãœ,ì˙ïΩãœãCâ∑0Åéñ¢ñûÇÃì˙êî,ì˙ïΩãœãCâ∑25Åéà»è„ÇÃì˙êî,ì˙ç≈çÇãCâ∑0Åéñ¢ñûÇÃì˙êî,ì˙ç≈çÇãCâ∑25Åéà»è„ÇÃì˙êî,ì˙ç≈çÇãCâ∑30Åéà»è„ÇÃì˙êî,ì˙ç≈çÇãCâ∑35Åéà»è„ÇÃì˙êî,ì˙ç≈í·ãCâ∑0Åéñ¢ñûÇÃì˙êî,ì˙ç≈í·ãCâ∑25Åéà»è„ÇÃì˙êî,ïΩãœåªínãCà≥,ïΩãœäCñ ãCà≥,ïΩãœëäëŒéºìx,ïΩãœèˆãCà≥,ïΩãœïóë¨,ì˙ç≈ëÂïóë¨10m/sà»è„ÇÃì˙êî,ì˙ç≈ëÂïóë¨15m/sà»è„ÇÃì˙êî,ì˙ç≈ëÂïóë¨20m/sà»è„ÇÃì˙êî,ì˙è∆éûä‘ÇÃçáåv,ì˙è∆ó¶40%à»è„ÇÃì˙êî,ì˙è∆éûä‘0.1éûä‘ñ¢ñûÇÃì˙êî,ç~êÖó ÇÃçáåv,ì˙ç~êÖó 1mmà»è„ÇÃì˙êî,ì˙ç~êÖó 10mmà»è„ÇÃì˙êî,ì˙ç~êÖó 30mmà»è„ÇÃì˙êî,ì˙ç~êÖó 50mmà»è„ÇÃì˙êî,ì˙ç~êÖó 100mmà»è„ÇÃì˙êî,ê·ì˙êî,ç~ê·ó ÇÃçáåv,ç~ê·ó ì˙çáåvÇÃç≈ëÂ,ç~ê·ó ì˙çáåv5cmà»è„ÇÃì˙êî,ç~ê·ó ì˙çáåv10cmà»è„ÇÃì˙êî,ç~ê·ó ì˙çáåv20cmà»è„ÇÃì˙êî,ç≈ê[êœê·,ì˙ç≈ê[êœê·5cmà»è„ÇÃì˙êî,ì˙ç≈ê[êœê·10cmà»è„ÇÃì˙êî,ì˙ç≈ê[êœê·20cmà»è„ÇÃì˙êî,ì˙ç≈ê[êœê·50cmà»è„ÇÃì˙êî,à‹ìx,åoìx,ïWçÇ
R01100,ñkäCìπ,éDñyés,01åé,-3.2,-0.4,-6.4,27.2,0.0,16.7,0.0,0.0,0.0,30.6,0.0,1009.8,1013.2,69,3.4,3.3,3.2,0.2,0.0,90.4,11.3,3.7,108.4,18.3,3.3,0.1,0.0,0.0,29.1,137,24,9.7,4.7,1.3,76,30.9,30.5,29.5,17.3,43.06,141.33,17.4
R01100,ñkäCìπ,éDñyés,02åé,-2.7,0.4,-6.2,22.7,0.0,13.3,0.0,0.0,0.0,27.4,0.0,1010.4,1013.7,68,3.5,3.4,3.6,0.2,0.0,103.5,11.9,2.9,91.9,16.0,2.5,0.2,0.0,0.0,25.2,116,24,8.2,4.0,1.0,95,28.3,28.3,28.3,26.0,43.06,141.33,17.4
R01100,ñkäCìπ,éDñyés,03åé,1.1,4.5,-2.4,11.4,0.0,3.2,0.0,0.0,0.0,23.3,0.0,1009.8,1013.1,65,4.4,3.8,4.6,0.4,0.0,144.7,15.1,2.7,77.6,13.9,2.1,0.2,0.0,0.0,22.5,74,17,5.7,2.0,0.3,82,29.0,28.4,26.8,18.7,43.06,141.33,17.4
R01100,ñkäCìπ,éDñyés,04åé,7.3,11.7,3.4,0.2,0.0,0.0,0.2,0.0,0.0,3.2,0.0,1008.8,1012.0,61,6.2,4.2,6.6,0.5,0.0,175.8,16.2,2.9,54.6,9.6,1.6,0.1,0.1,0.0,6.7,6,3,0.4,0.1,0.0,22,4.1,3.6,2.7,0.8,43.06,141.33,17.4
R01100,ñkäCìπ,éDñyés,05åé,13.0,17.9,9.0,0.0,0.0,0.0,2.1,0.1,0.0,0.0,0.0,1007.4,1010.6,65,9.6,4.2,6.2,0.5,0.0,200.4,17.0,3.5,55.5,8.5,1.8,0.3,0.0,0.0,0.1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,43.06,141.33,17.4
R01100,ñkäCìπ,éDñyés,06åé,17.0,21.8,13.4,0.0,0.1,0.0,7.2,0.5,0.0,0.0,0.0,1005.9,1009.0,72,14.0,3.7,3.4,0.1,0.0,180.0,14.5,3.7,60.4,7.5,2.0,0.4,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,43.06,141.33,17.4
R01100,ñkäCìπ,éDñyés,07åé,21.1,25.4,17.9,0.0,2.4,0.0,17.2,2.9,0.0,0.0,0.1,1005.3,1008.3,75,18.9,3.6,2.5,0.0,0.0,168.0,13.7,3.9,90.7,7.7,2.9,0.7,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,43.06,141.33,17.4
R01100,ñkäCìπ,éDñyés,08åé,22.3,26.4,19.1,0.0,4.6,0.0,20.4,4.5,0.1,0.0,0.0,1006.9,1009.9,75,20.2,3.5,2.5,0.1,0.0,168.1,14.9,3.9,126.8,9.5,4.1,1.4,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,43.06,141.33,17.4
R01100,ñkäCìπ,éDñyés,09åé,18.6,22.8,14.8,0.0,0.7,0.0,7.5,0.6,0.0,0.0,0.0,1010.3,1013.4,71,15.3,3.2,2.8,0.1,0.0,159.3,16.3,3.5,142.2,10.2,4.1,1.3,0.6,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,43.06,141.33,17.4
R01100,ñkäCìπ,éDñyés,10åé,12.1,16.4,8.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1012.6,1015.8,67,9.7,3.4,4.4,0.1,0.0,145.9,15.6,2.7,109.9,11.6,3.3,0.6,0.2,0.0,0.9,1,1,0.0,0.0,0.0,1,0.1,0.0,0.0,0.0,43.06,141.33,17.4
R01100,ñkäCìπ,éDñyés,11åé,5.2,8.7,1.6,2.9,0.0,0.9,0.0,0.0,0.0,9.7,0.0,1012.6,1015.9,67,6.2,3.4,3.9,0.1,0.0,99.1,11.7,3.3,113.8,14.6,3.7,0.6,0.0,0.0,13.5,30,14,2.1,0.9,0.3,15,4.1,2.2,0.8,0.0,43.06,141.33,17.4
R01100,ñkäCìπ,éDñyés,12åé,-0.9,2.0,-4.0,19.9,0.0,9.5,0.0,0.0,0.0,27.6,0.0,1010.7,1014.1,68,4.1,3.2,3.1,0.2,0.0,82.7,10.2,4.5,114.5,16.0,3.7,0.5,0.0,0.0,26.8,113,28,7.5,3.7,1.2,47,23.3,19.6,12.6,2.9,43.06,141.33,17.4
R01100,ñkäCìπ,éDñyés,îN,9.2,13.1,5.7,84.3,7.8,43.6,54.6,8.6,0.1,121.8,0.1,1009.2,1012.4,69,9.6,3.6,46.7,2.7,0.1,1718.0,168.3,41.2,1146.1,143.5,35.1,6.3,1.5,0.1,124.4,479,34,33.8,15.5,4.2,97,119.9,112.9,100.9,65.7,43.06,141.33,17.4
R02201,ê¬êXåß,ê¬êXés,01åé,-0.9,1.8,-3.5,19.0,0.0,8.2,0.0,0.0,0.0,28.7,0.0,1014.3,1014.8,78,4.5,4.1,5.7,0.2,0.0,48.5,4.2,6.7,139.9,21.9,4.4,0.2,0.0,0.0,29.6,195,26,14.0,7.8,2.2,83,30.1,29.0,25.9,15.0,40.82,140.77,2.8
R02201,ê¬êXåß,ê¬êXés,02åé,-0.4,2.7,-3.3,15.3,0.0,5.7,0.0,0.0,0.0,25.5,0.0,1014.8,1015.3,76,4.5,4.2,5.8,0.4,0.0,72.3,6.7,3.4,99.0,18.1,2.7,0.0,0.0,0.0,26.1,141,23,10.1,6.0,1.1,97,27.5,27.4,26.6,21.3,40.82,140.77,2.8
R02201,ê¬êXåß,ê¬êXés,03åé,2.8,6.8,-0.8,5.4,0.0,0.7,0.0,0.0,0.0,19.8,0.0,1014.2,1014.7,70,5.2,4.3,9.0,0.5,0.0,126.0,12.1,3.3,75.2,14.1,1.9,0.1,0.0,0.0,22.1,64,15,5.2,2.1,0.1,70,22.0,20.4,18.3,10.7,40.82,140.77,2.8
R02201,ê¬êXåß,ê¬êXés,04åé,8.5,13.7,4.1,0.0,0.0,0.0,0.5,0.0,0.0,2.0,0.0,1012.7,1013.2,65,7.2,4.2,9.3,0.6,0.0,179.1,16.8,3.1,68.7,10.6,2.2,0.1,0.0,0.0,5.7,4,2,0.3,0.1,0.0,9,1.5,1.1,0.8,0.4,40.82,140.77,2.8
R02201,ê¬êXåß,ê¬êXés,05åé,13.7,18.8,9.4,0.0,0.0,0.0,2.1,0.2,0.0,0.0,0.0,1010.8,1011.3,71,11.0,3.7,6.8,0.1,0.0,201.4,16.9,3.5,76.7,9.6,2.4,0.4,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,40.82,140.77,2.8
R02201,ê¬êXåß,ê¬êXés,06åé,17.6,22.1,14.1,0.0,0.2,0.0,5.7,0.6,0.0,0.0,0.0,1008.6,1009.1,78,15.6,3.2,2.7,0.0,0.0,180.0,14.9,3.6,75.0,8.3,2.6,0.3,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,40.82,140.77,2.8
R02201,ê¬êXåß,ê¬êXés,07åé,21.8,26.0,18.6,0.0,4.1,0.0,19.3,4.2,0.1,0.0,0.2,1008.0,1008.5,80,20.9,3.1,2.7,0.0,0.0,161.4,12.9,3.5,129.5,9.1,4.1,1.2,0.2,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,40.82,140.77,2.8
R02201,ê¬êXåß,ê¬êXés,08åé,23.5,27.8,20.0,0.0,8.6,0.0,24.7,7.8,0.2,0.0,0.3,1009.4,1009.9,78,22.6,3.1,2.1,0.1,0.0,178.0,16.0,2.8,142.0,9.6,4.3,1.5,0.5,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,40.82,140.77,2.8
R02201,ê¬êXåß,ê¬êXés,09åé,19.9,24.5,15.8,0.0,1.6,0.0,13.0,1.9,0.1,0.0,0.0,1012.9,1013.4,76,17.7,3.1,3.2,0.2,0.0,162.4,15.9,3.4,133.0,10.3,4.0,1.2,0.4,0.1,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,40.82,140.77,2.8
R02201,ê¬êXåß,ê¬êXés,10åé,13.5,18.3,9.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1016.3,1016.8,73,11.5,3.4,4.8,0.2,0.0,144.4,15.3,3.2,119.2,12.8,3.7,0.6,0.3,0.1,0.2,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,40.82,140.77,2.8
R02201,ê¬êXåß,ê¬êXés,11åé,7.2,11.2,3.4,0.7,0.0,0.1,0.0,0.0,0.0,4.4,0.0,1017.0,1017.5,73,7.6,3.9,5.7,0.2,0.0,85.4,9.9,4.6,137.4,16.7,4.9,0.3,0.1,0.0,10.2,23,11,1.7,0.9,0.2,14,3.3,1.9,0.6,0.1,40.82,140.77,2.8
R02201,ê¬êXåß,ê¬êXés,12åé,1.4,4.5,-1.4,10.3,0.0,4.0,0.0,0.0,0.0,22.0,0.0,1015.4,1015.9,78,5.3,4.1,6.7,0.3,0.0,50.4,5.3,6.7,155.2,21.2,5.0,0.4,0.0,0.0,26.0,143,27,9.9,6.2,1.5,51,20.7,17.3,11.5,3.2,40.82,140.77,2.8
